CMDLINE d:\python27\envs\py37\python.exe pytorch-seq2seq-attention.py
MEM 2693.546875 1601124651.6783
MEM 2693.546875 1601124651.7783
MEM 2693.546875 1601124651.8793
MEM 2693.546875 1601124651.9793
MEM 2693.546875 1601124652.0803
MEM 2693.546875 1601124652.1803
MEM 2693.546875 1601124652.2803
MEM 2693.546875 1601124652.3813
MEM 2693.546875 1601124652.4813
MEM 2693.546875 1601124652.5823
MEM 2693.546875 1601124652.6833
MEM 2694.046875 1601124652.7843
MEM 2694.046875 1601124652.8843
MEM 2694.054688 1601124652.9843
MEM 2694.179688 1601124653.0853
MEM 2694.628906 1601124653.1853
MEM 2696.289062 1601124653.2863
MEM 2696.289062 1601124653.3873
MEM 2696.289062 1601124653.4873
MEM 2696.289062 1601124653.5873
MEM 2696.289062 1601124653.6873
MEM 2696.289062 1601124653.7883
MEM 2696.289062 1601124653.8883
MEM 2696.289062 1601124653.9893
MEM 2696.289062 1601124654.0893
MEM 2696.289062 1601124654.1903
MEM 2696.289062 1601124654.2903
MEM 2696.289062 1601124654.3903
MEM 2696.289062 1601124654.4913
MEM 2696.289062 1601124654.5923
MEM 2696.289062 1601124654.6923
MEM 2696.289062 1601124654.7923
MEM 2696.289062 1601124654.8923
MEM 2696.289062 1601124654.9923
MEM 2696.289062 1601124655.0923
MEM 2696.289062 1601124655.1933
MEM 2696.289062 1601124655.2933
MEM 2696.289062 1601124655.3933
MEM 2696.289062 1601124655.4933
MEM 2696.289062 1601124655.5943
MEM 2696.289062 1601124655.6953
MEM 2696.289062 1601124655.7963
MEM 2696.332031 1601124655.8973
MEM 2696.332031 1601124655.9983
MEM 2696.332031 1601124656.0993
MEM 2696.332031 1601124656.1993
MEM 2696.332031 1601124656.2993
MEM 2696.332031 1601124656.4003
MEM 2696.332031 1601124656.5013
MEM 2696.332031 1601124656.6013
MEM 2696.332031 1601124656.7013
MEM 2696.332031 1601124656.8023
MEM 2696.332031 1601124656.9023
MEM 2696.335938 1601124657.0033
MEM 2696.335938 1601124657.1033
MEM 2696.335938 1601124657.2043
MEM 2696.335938 1601124657.3053
MEM 2696.335938 1601124657.4053
MEM 2696.335938 1601124657.5053
MEM 2696.335938 1601124657.6063
MEM 2696.335938 1601124657.7073
MEM 2696.335938 1601124657.8073
MEM 2696.339844 1601124657.9083
MEM 2696.339844 1601124658.0093
MEM 2696.339844 1601124658.1093
MEM 2696.339844 1601124658.2103
MEM 2696.339844 1601124658.3113
MEM 2696.339844 1601124658.4113
MEM 2696.339844 1601124658.5123
MEM 2696.339844 1601124658.6133
MEM 2696.738281 1601124658.7133
MEM 2697.238281 1601124658.8143
MEM 2697.238281 1601124658.9152
MEM 2697.234375 1601124659.0158
MEM 2697.226562 1601124659.1158
MEM 2697.949219 1601124659.2168
MEM 2699.105469 1601124659.3168
MEM 2699.105469 1601124659.4168
MEM 2699.105469 1601124659.5168
MEM 2699.105469 1601124659.6178
MEM 2699.105469 1601124659.7188
MEM 2699.105469 1601124659.8198
MEM 2699.105469 1601124659.9198
MEM 2699.105469 1601124660.0198
MEM 2699.105469 1601124660.1208
MEM 2699.105469 1601124660.2208
MEM 2699.105469 1601124660.3218
MEM 2699.105469 1601124660.4218
MEM 2699.105469 1601124660.5228
MEM 2699.105469 1601124660.6228
MEM 2699.105469 1601124660.7228
MEM 2699.105469 1601124660.8238
MEM 2699.105469 1601124660.9248
MEM 2699.105469 1601124661.0258
MEM 2699.105469 1601124661.1258
MEM 2699.105469 1601124661.2268
MEM 2699.105469 1601124661.3268
MEM 2699.105469 1601124661.4268
MEM 2699.105469 1601124661.5268
MEM 2699.105469 1601124661.6268
MEM 2699.105469 1601124661.7278
MEM 2699.105469 1601124661.8278
MEM 2699.105469 1601124661.9278
MEM 2699.105469 1601124662.0288
MEM 2699.105469 1601124662.1288
MEM 2699.105469 1601124662.2288
MEM 2699.105469 1601124662.3298
MEM 2699.105469 1601124662.4298
MEM 2699.105469 1601124662.5308
MEM 2699.105469 1601124662.6318
MEM 2699.105469 1601124662.7328
MEM 2699.105469 1601124662.8328
MEM 2699.105469 1601124662.9338
MEM 2699.105469 1601124663.0338
MEM 2699.105469 1601124663.1348
MEM 2699.105469 1601124663.2348
MEM 2699.105469 1601124663.3358
MEM 2699.105469 1601124663.4358
MEM 2699.105469 1601124663.5358
MEM 2699.105469 1601124663.6368
MEM 2699.105469 1601124663.7368
MEM 2699.105469 1601124663.8378
MEM 2699.105469 1601124663.9388
MEM 2699.105469 1601124664.0388
MEM 2699.105469 1601124664.1388
MEM 2699.105469 1601124664.2398
MEM 2699.105469 1601124664.3398
MEM 2699.105469 1601124664.4408
MEM 2699.105469 1601124664.5418
MEM 2699.480469 1601124664.6418
MEM 2699.480469 1601124664.7428
MEM 2699.480469 1601124664.8438
MEM 2699.488281 1601124664.9438
MEM 2699.546875 1601124665.0448
MEM 2700.312500 1601124665.1448
MEM 2701.394531 1601124665.2458
MEM 2701.394531 1601124665.3458
MEM 2701.394531 1601124665.4458
MEM 2701.394531 1601124665.5458
MEM 2701.394531 1601124665.6458
MEM 2701.394531 1601124665.7468
MEM 2701.394531 1601124665.8468
MEM 2701.394531 1601124665.9478
MEM 2701.394531 1601124666.0488
MEM 2701.394531 1601124666.1498
MEM 2701.394531 1601124666.2498
MEM 2701.394531 1601124666.3498
MEM 2701.394531 1601124666.4498
MEM 2701.394531 1601124666.5508
MEM 2701.394531 1601124666.6508
MEM 2701.394531 1601124666.7509
MEM 2701.394531 1601124666.8511
MEM 2701.394531 1601124666.9521
MEM 2701.394531 1601124667.0531
MEM 2701.394531 1601124667.1541
MEM 2701.394531 1601124667.2551
MEM 2701.394531 1601124667.3551
MEM 2701.394531 1601124667.4551
MEM 2701.394531 1601124667.5551
MEM 2701.394531 1601124667.6561
MEM 2701.394531 1601124667.7561
MEM 2701.394531 1601124667.8571
MEM 2701.394531 1601124667.9581
MEM 2701.394531 1601124668.0581
MEM 2701.394531 1601124668.1591
MEM 2701.394531 1601124668.2591
MEM 2701.394531 1601124668.3591
MEM 2701.394531 1601124668.4601
MEM 2701.394531 1601124668.5611
MEM 2701.394531 1601124668.6611
MEM 2701.394531 1601124668.7611
MEM 2701.394531 1601124668.8621
MEM 2701.394531 1601124668.9621
MEM 2701.394531 1601124669.0631
MEM 2701.394531 1601124669.1641
MEM 2701.394531 1601124669.2651
MEM 2701.394531 1601124669.3651
MEM 2701.394531 1601124669.4651
MEM 2701.394531 1601124669.5661
MEM 2701.394531 1601124669.6661
MEM 2701.394531 1601124669.7671
MEM 2701.394531 1601124669.8681
MEM 2701.394531 1601124669.9681
MEM 2701.394531 1601124670.0691
MEM 2701.394531 1601124670.1691
MEM 2701.394531 1601124670.2701
MEM 2701.394531 1601124670.3711
MEM 2701.394531 1601124670.4717
MEM 2701.394531 1601124670.5727
MEM 2702.277344 1601124670.6737
MEM 2702.277344 1601124670.7737
MEM 2702.277344 1601124670.8747
MEM 2702.277344 1601124670.9747
MEM 2702.285156 1601124671.0757
MEM 2702.984375 1601124671.1757
MEM 2704.273438 1601124671.2767
MEM 2704.273438 1601124671.3777
MEM 2704.273438 1601124671.4787
MEM 2704.273438 1601124671.5797
MEM 2704.273438 1601124671.6797
MEM 2704.273438 1601124671.7797
MEM 2704.273438 1601124671.8807
MEM 2704.273438 1601124671.9807
MEM 2704.273438 1601124672.0817
MEM 2704.273438 1601124672.1817
MEM 2704.273438 1601124672.2827
MEM 2704.273438 1601124672.3827
MEM 2704.273438 1601124672.4827
MEM 2704.273438 1601124672.5837
MEM 2704.273438 1601124672.6837
MEM 2704.273438 1601124672.7837
MEM 2704.273438 1601124672.8847
MEM 2704.273438 1601124672.9847
MEM 2704.273438 1601124673.0857
MEM 2704.273438 1601124673.1857
MEM 2704.273438 1601124673.2867
MEM 2704.273438 1601124673.3867
MEM 2704.273438 1601124673.4877
MEM 2704.273438 1601124673.5877
MEM 2704.273438 1601124673.6887
MEM 2704.273438 1601124673.7887
MEM 2704.273438 1601124673.8887
MEM 2704.273438 1601124673.9897
MEM 2704.273438 1601124674.0907
MEM 2704.273438 1601124674.1907
MEM 2704.273438 1601124674.2907
MEM 2704.273438 1601124674.3907
MEM 2704.273438 1601124674.4917
MEM 2704.273438 1601124674.5917
MEM 2704.273438 1601124674.6927
MEM 2704.273438 1601124674.7937
MEM 2704.273438 1601124674.8937
MEM 2704.273438 1601124674.9947
MEM 2704.273438 1601124675.0957
MEM 2704.273438 1601124675.1967
MEM 2704.273438 1601124675.2967
MEM 2704.273438 1601124675.3967
MEM 2704.273438 1601124675.4977
MEM 2704.273438 1601124675.5977
MEM 2704.273438 1601124675.6977
MEM 2704.273438 1601124675.8227
MEM 2704.273438 1601124675.9237
MEM 2704.273438 1601124676.0247
MEM 2704.273438 1601124676.1247
MEM 2704.273438 1601124676.2257
MEM 2704.273438 1601124676.3267
MEM 2704.273438 1601124676.4267
MEM 2704.273438 1601124676.5267
MEM 2704.402344 1601124676.6277
MEM 2704.902344 1601124676.7287
MEM 2704.902344 1601124676.8287
MEM 2704.902344 1601124676.9287
MEM 2704.894531 1601124677.0297
MEM 2705.414062 1601124677.1297
MEM 2706.667969 1601124677.2307
MEM 2706.667969 1601124677.3317
MEM 2706.667969 1601124677.4317
MEM 2706.667969 1601124677.5317
MEM 2706.667969 1601124677.6327
MEM 2706.667969 1601124677.7327
MEM 2706.667969 1601124677.8337
MEM 2706.667969 1601124677.9337
MEM 2706.667969 1601124678.0347
MEM 2706.667969 1601124678.1347
MEM 2706.667969 1601124678.2357
MEM 2706.667969 1601124678.3367
MEM 2706.667969 1601124678.4375
MEM 2706.667969 1601124678.5381
MEM 2706.667969 1601124678.6391
MEM 2706.667969 1601124678.7401
MEM 2706.667969 1601124678.8411
MEM 2706.667969 1601124678.9411
MEM 2706.667969 1601124679.0421
MEM 2706.667969 1601124679.1431
MEM 2706.667969 1601124679.2441
MEM 2706.667969 1601124679.3441
MEM 2706.667969 1601124679.4441
MEM 2706.667969 1601124679.5441
MEM 2706.667969 1601124679.6451
MEM 2706.667969 1601124679.7451
MEM 2706.667969 1601124679.8461
MEM 2706.667969 1601124679.9471
MEM 2706.667969 1601124680.0481
MEM 2706.667969 1601124680.1481
MEM 2706.667969 1601124680.2491
MEM 2706.667969 1601124680.3491
MEM 2706.667969 1601124680.4491
MEM 2706.667969 1601124680.5501
MEM 2706.667969 1601124680.6511
MEM 2706.667969 1601124680.7521
MEM 2706.667969 1601124680.8521
MEM 2706.667969 1601124680.9531
MEM 2706.667969 1601124681.0531
MEM 2706.667969 1601124681.1541
MEM 2706.667969 1601124681.2541
MEM 2706.667969 1601124681.3551
MEM 2706.667969 1601124681.4561
MEM 2706.667969 1601124681.5561
MEM 2706.667969 1601124681.6571
MEM 2706.667969 1601124681.7571
MEM 2706.667969 1601124681.8581
MEM 2706.667969 1601124681.9591
MEM 2706.667969 1601124682.0591
MEM 2706.667969 1601124682.1591
MEM 2706.667969 1601124682.2591
MEM 2706.667969 1601124682.3601
MEM 2706.667969 1601124682.4611
MEM 2706.667969 1601124682.5611
MEM 2706.667969 1601124682.6611
MEM 2706.667969 1601124682.7611
MEM 2706.667969 1601124682.8621
MEM 2706.667969 1601124682.9631
MEM 2706.667969 1601124683.0641
MEM 2706.667969 1601124683.1641
MEM 2706.667969 1601124683.2641
MEM 2706.667969 1601124683.3651
MEM 2707.550781 1601124683.4661
MEM 2707.550781 1601124683.5671
MEM 2707.550781 1601124683.6671
MEM 2707.550781 1601124683.7681
MEM 2707.554688 1601124683.8681
MEM 2707.753906 1601124683.9687
MEM 2708.644531 1601124684.0697
MEM 2708.644531 1601124684.1707
MEM 2708.644531 1601124684.2707
MEM 2708.644531 1601124684.3717
MEM 2708.644531 1601124684.4727
MEM 2708.644531 1601124684.5737
MEM 2708.644531 1601124684.6747
MEM 2708.644531 1601124684.7757
MEM 2708.644531 1601124684.8757
MEM 2708.644531 1601124684.9767
MEM 2708.644531 1601124685.0777
MEM 2708.644531 1601124685.1777
MEM 2708.644531 1601124685.2777
MEM 2708.644531 1601124685.3777
MEM 2708.644531 1601124685.4777
MEM 2708.644531 1601124685.5787
MEM 2708.644531 1601124685.6797
MEM 2708.644531 1601124685.7807
MEM 2708.585938 1601124685.8817
MEM 2708.585938 1601124685.9827
MEM 2708.585938 1601124686.0827
MEM 2708.585938 1601124686.1827
MEM 2708.585938 1601124686.2827
MEM 2708.585938 1601124686.3837
MEM 2708.585938 1601124686.4837
MEM 2708.585938 1601124686.5837
MEM 2708.585938 1601124686.6847
MEM 2708.585938 1601124686.7857
MEM 2708.585938 1601124686.8857
MEM 2708.585938 1601124686.9867
MEM 2708.585938 1601124687.0867
MEM 2708.585938 1601124687.1877
MEM 2708.585938 1601124687.2887
MEM 2708.585938 1601124687.3897
MEM 2708.585938 1601124687.4907
MEM 2708.585938 1601124687.5907
MEM 2708.585938 1601124687.6917
MEM 2708.585938 1601124687.7927
MEM 2708.585938 1601124687.8927
MEM 2708.585938 1601124687.9927
MEM 2708.585938 1601124688.0927
MEM 2708.585938 1601124688.1927
MEM 2708.585938 1601124688.2937
MEM 2708.585938 1601124688.3937
MEM 2708.585938 1601124688.4947
MEM 2708.585938 1601124688.5947
MEM 2708.585938 1601124688.6947
MEM 2708.585938 1601124688.7957
MEM 2708.585938 1601124688.8967
MEM 2708.585938 1601124688.9977
MEM 2708.585938 1601124689.0977
MEM 2709.468750 1601124689.1987
MEM 2709.468750 1601124689.2997
MEM 2709.476562 1601124689.3997
MEM 2709.726562 1601124689.4997
MEM 2710.046875 1601124689.5997
MEM 2711.906250 1601124689.7007
MEM 2711.906250 1601124689.8017
MEM 2711.906250 1601124689.9027
MEM 2711.906250 1601124690.0037
MEM 2711.906250 1601124690.1037
MEM 2711.906250 1601124690.2047
MEM 2711.906250 1601124690.3057
MEM 2711.906250 1601124690.4057
MEM 2711.906250 1601124690.5067
MEM 2711.906250 1601124690.6067
MEM 2711.906250 1601124690.7067
MEM 2711.906250 1601124690.8077
MEM 2711.906250 1601124690.9077
MEM 2711.906250 1601124691.0087
MEM 2711.906250 1601124691.1097
MEM 2711.906250 1601124691.2097
MEM 2711.906250 1601124691.3097
MEM 2711.906250 1601124691.4097
MEM 2711.906250 1601124691.5107
MEM 2711.906250 1601124691.6107
MEM 2711.906250 1601124691.7117
MEM 2711.906250 1601124691.8127
MEM 2711.906250 1601124691.9127
MEM 2711.906250 1601124692.0127
MEM 2711.906250 1601124692.1137
MEM 2711.906250 1601124692.2147
MEM 2711.906250 1601124692.3152
MEM 2711.906250 1601124692.4152
MEM 2711.906250 1601124692.5162
MEM 2711.906250 1601124692.6162
MEM 2711.906250 1601124692.7172
MEM 2711.906250 1601124692.8182
MEM 2711.906250 1601124692.9192
MEM 2711.906250 1601124693.0192
MEM 2711.906250 1601124693.1202
MEM 2711.906250 1601124693.2212
MEM 2711.906250 1601124693.3212
MEM 2711.906250 1601124693.4212
MEM 2711.906250 1601124693.5222
MEM 2711.906250 1601124693.6222
MEM 2711.906250 1601124693.7222
MEM 2711.906250 1601124693.8232
MEM 2711.906250 1601124693.9232
MEM 2711.906250 1601124694.0242
MEM 2711.906250 1601124694.1242
MEM 2711.906250 1601124694.2242
MEM 2711.906250 1601124694.3252
MEM 2711.906250 1601124694.4252
MEM 2711.906250 1601124694.5262
MEM 2711.906250 1601124694.6272
MEM 2711.906250 1601124694.7272
MEM 2712.160156 1601124694.8282
MEM 2712.660156 1601124694.9282
MEM 2712.656250 1601124695.0292
MEM 2712.656250 1601124695.1292
MEM 2712.664062 1601124695.2302
MEM 2713.488281 1601124695.3302
MEM 2714.316406 1601124695.4302
MEM 2714.316406 1601124695.5312
MEM 2714.316406 1601124695.6312
MEM 2714.316406 1601124695.7322
MEM 2714.316406 1601124695.8322
MEM 2714.316406 1601124695.9332
MEM 2714.316406 1601124696.0342
MEM 2714.316406 1601124696.1342
MEM 2714.316406 1601124696.2342
MEM 2714.316406 1601124696.3342
MEM 2714.316406 1601124696.4352
MEM 2714.316406 1601124696.5362
MEM 2714.316406 1601124696.6362
MEM 2714.316406 1601124696.7372
MEM 2714.316406 1601124696.8382
MEM 2714.316406 1601124696.9392
MEM 2714.316406 1601124697.0402
MEM 2714.316406 1601124697.1402
MEM 2714.316406 1601124697.2412
MEM 2714.316406 1601124697.3412
MEM 2714.316406 1601124697.4412
MEM 2714.316406 1601124697.5422
MEM 2714.316406 1601124697.6422
MEM 2714.316406 1601124697.7432
MEM 2714.316406 1601124697.8432
MEM 2714.316406 1601124697.9442
MEM 2714.316406 1601124698.0442
MEM 2714.316406 1601124698.1452
MEM 2714.316406 1601124698.2452
MEM 2714.316406 1601124698.3462
MEM 2714.316406 1601124698.4472
MEM 2714.316406 1601124698.5472
MEM 2714.316406 1601124698.6472
MEM 2714.316406 1601124698.7482
MEM 2714.316406 1601124698.8492
MEM 2714.316406 1601124698.9492
MEM 2714.316406 1601124699.0492
MEM 2714.316406 1601124699.1502
MEM 2714.316406 1601124699.2502
MEM 2714.316406 1601124699.3512
MEM 2714.316406 1601124699.4522
MEM 2714.316406 1601124699.5522
MEM 2714.316406 1601124699.6522
MEM 2714.316406 1601124699.7532
MEM 2714.316406 1601124699.8542
MEM 2714.316406 1601124699.9552
MEM 2714.316406 1601124700.0562
MEM 2714.316406 1601124700.1572
MEM 2714.316406 1601124700.2582
MEM 2714.316406 1601124700.3582
MEM 2714.574219 1601124700.4588
MEM 2715.074219 1601124700.5598
MEM 2715.074219 1601124700.6598
MEM 2715.074219 1601124700.7598
MEM 2715.460938 1601124700.8598
MEM 2716.355469 1601124700.9608
MEM 2717.191406 1601124701.0608
MEM 2717.191406 1601124701.1618
MEM 2717.191406 1601124701.2628
MEM 2717.191406 1601124701.3638
MEM 2717.191406 1601124701.4648
MEM 2717.191406 1601124701.5658
MEM 2717.191406 1601124701.6668
MEM 2717.191406 1601124701.7678
MEM 2717.191406 1601124701.8678
