,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
3,CHAS,0.00162601622287184,0.13614470174301718,-0.04150879767633254,0.0,0.04150879767633254,0.0,0.0,0.0
8,RAD,0.01138211414217949,0.18409238677992742,-0.2255191187704763,-0.0031211606917842744,0.26163392425865256,0.051697105489751344,0.19647789001464844,0.0
1,ZN,0.019512195140123367,13.788623700611263,-0.007729489316222488,0.015529340313326928,0.02722074652230868,0.02831166277649582,0.0,0.0
2,INDUS,0.039024390280246735,0.1879798384947912,0.3208022989252562,-0.3020861328289073,0.3267486121064873,0.3443292699834352,0.19074630737304688,0.0
10,PTRATIO,0.042276423424482346,0.18244432474294608,0.490378705404138,-0.2998312621988276,0.5018102045982115,0.31536455564601446,0.23877716064453125,0.14841270446777344
9,TAX,0.04878048598766327,0.17829120017696262,0.5332586944744151,-0.24471515737554078,0.5535886518416866,0.3037338359381563,0.2655048370361328,0.1454944610595703
4,NOX,0.07154471427202225,0.14873129714880262,0.22287813053336195,-0.38767557246710665,0.27749676089132985,0.5189692384453231,0.0,0.19596481323242188
6,AGE,0.10406503826379776,0.17885166903080316,-0.034417870224163094,-0.02418063276557512,0.5992283359650643,0.47058874048212523,0.3208808898925781,0.19121932983398438
12,LSTAT,0.10406503826379776,0.12325448110325442,1.6883068853808987,-1.9721210131081202,1.7551597625978532,1.9760263196883663,1.2565746307373047,1.6748967170715332
11,B,0.10731707513332367,0.13730486185248178,-0.2465390851420741,-0.11218706254036195,0.3823521726874895,0.3499287277139643,0.2664475440979004,0.18295669555664062
7,DIS,0.13821138441562653,0.17365117063208166,1.5730572849191644,-0.4926161022596462,1.7018411569697882,0.5852313887688422,0.5747756958007812,0.28139352798461914
0,CRIM,0.15447154641151428,0.24357003135883906,-0.5215885280280985,-1.3513067178828742,0.876321441383772,1.9486580279565626,0.658228874206543,0.4903545379638672
5,RM,0.1577235758304596,0.12150081113410344,-1.6293432892009776,2.1278234733048307,1.6682953885806504,2.1803619143783406,0.7298660278320312,1.644113540649414
